time	magnitude	longitude	latitude	depth(m)	sigma_time	sigma_amp	cov_time_amp	event_index	gamma_score
2017-09-09T22:53:58.994	2.303	-95.067	15.179	20646.892	0.758	0.534	-0.243	95	10.568
2017-09-17T01:56:52.392	1.439	-95.239	15.121	6213.252	0.920	0.261	-0.230	107	5.212
2017-09-13T18:50:28.460	1.977	-93.665	15.224	38744.242	0.432	0.317	0.019	133	8.000
2017-09-19T06:50:54.627	1.365	-94.713	15.359	32085.367	0.267	0.138	0.229	138	6.828
2017-09-28T19:55:04.509	1.470	-95.141	16.290	18730.419	0.621	0.394	-0.401	140	11.804
2017-09-22T17:59:18.265	2.887	-94.513	14.290	230199.702	0.704	0.426	-0.021	155	4.684
2017-09-22T18:05:01.597	1.778	-94.753	15.913	0.000	0.491	0.181	0.114	156	6.486
2017-09-09T22:12:34.570	2.305	-94.807	15.148	44389.699	0.910	0.544	-0.479	114	18.000
2017-09-15T14:43:59.236	2.584	-94.740	15.281	32886.456	0.859	0.448	-0.225	117	18.000
2017-09-15T17:34:12.987	2.220	-94.098	15.400	23415.990	0.540	0.458	-0.073	121	6.983
2017-09-26T03:19:05.221	2.234	-94.784	15.171	31027.308	0.979	0.471	-0.548	168	16.689
2017-09-26T03:26:02.351	1.800	-94.922	16.259	0.000	0.860	0.443	-0.260	169	14.010
2017-09-26T03:39:17.473	2.102	-95.366	17.501	141188.777	0.233	0.291	-0.009	170	4.749
2017-09-09T01:46:38.886	2.625	-94.819	15.169	35471.066	0.667	0.540	-0.473	171	14.981
2017-09-27T02:53:28.039	2.737	-94.598	15.706	69810.652	0.461	0.502	-0.054	217	6.980
2017-09-27T02:57:45.896	1.399	-95.117	15.867	2987.959	0.630	0.387	0.488	218	12.000
2017-09-27T03:06:42.502	1.682	-95.327	16.090	113679.398	0.263	0.556	-0.013	219	5.441
2017-09-27T03:06:59.564	1.614	-94.505	15.200	0.000	0.561	0.467	0.093	220	5.206
2017-09-27T03:13:36.966	1.537	-94.449	15.435	4582.090	0.591	0.204	-0.036	221	6.825
2017-09-15T12:11:42.843	2.548	-94.544	15.817	60176.673	0.150	0.317	0.017	229	6.805
2017-09-15T12:11:57.139	1.547	-96.269	15.041	87819.997	0.594	0.484	0.034	230	6.188
2017-09-15T12:20:16.999	2.089	-93.654	15.229	42574.493	0.331	0.387	-0.009	231	7.000
2017-09-15T19:27:19.580	2.189	-94.873	15.878	5839.450	0.820	0.231	-0.025	232	6.862
2017-09-19T00:26:10.818	2.394	-94.793	15.342	31418.510	1.014	0.458	-0.532	129	11.859
2017-09-27T04:06:50.171	2.042	-93.881	15.379	77265.464	0.693	0.484	0.125	143	8.902
2017-09-27T04:07:51.287	1.763	-95.145	16.299	0.000	0.551	0.357	-0.019	145	7.355
2017-09-27T04:11:54.452	1.145	-96.680	15.252	96130.034	0.740	0.370	-0.048	146	5.765
2017-09-12T20:04:48.326	2.122	-94.700	15.281	31117.198	1.117	0.337	-0.109	588	6.861
2017-09-12T20:07:29.971	2.775	-94.770	15.268	32436.533	0.982	0.485	-0.224	589	17.475
2017-09-12T20:10:03.009	2.617	-94.498	15.580	32527.774	0.749	0.540	-0.073	590	20.966
2017-09-12T20:12:40.623	1.909	-94.774	15.519	32120.538	0.367	0.285	-0.036	591	5.732
2017-09-12T20:16:08.511	2.240	-94.934	15.221	49291.363	1.054	0.510	-0.090	592	8.847
2017-09-12T20:18:51.507	2.346	-95.022	16.519	121548.388	0.118	0.517	-0.018	593	4.976
