ID,latitude,longitude,depth,X,Y,Z,EX,EY,EZ,MAG,NCCP,NCCS,NCTP,NCTS,RCC,RCT,CID,time_utc
93,15.383961,-94.547998,-57.001,30371.1,-7341.9,28446.7,1110.9,2535.0,2656.5,3.021,0,0,3,2,-9.0,0.325,1,2017-09-09 05:48:40.610
94,15.029403,-94.546859,-49.407,30518.3,-46574.7,20852.0,839.9,870.4,1789.3,3.266,0,0,95,29,-9.0,0.217,1,2017-09-09 06:12:04.960
95,14.943538,-94.44821,-43.521,41124.6,-56075.7,14966.7,854.8,1109.2,2796.5,2.294,0,0,38,12,-9.0,0.235,1,2017-09-09 06:17:39.540
96,15.539112,-94.537158,-56.302,31522.5,9825.9,27747.3,1093.1,2096.1,1899.7,2.389,0,0,17,8,-9.0,0.307,1,2017-09-09 06:19:15.720
97,15.150979,-94.708813,-26.758,13116.5,-33122.0,-1796.2,720.7,1016.1,738.3,2.717,0,0,242,76,-9.0,0.256,1,2017-09-09 06:20:43.280
98,15.129592,-94.720418,-34.508,11870.4,-35488.5,5953.1,742.7,859.0,1189.8,2.607,0,0,188,137,-9.0,0.206,1,2017-09-09 06:22:12.670
99,15.403412,-95.05599,-31.706,-24155.5,-5189.7,3151.1,825.3,1010.3,1249.2,3.588,0,0,131,111,-9.0,0.291,1,2017-09-09 06:24:18.560
100,14.825881,-94.301253,-20.823,-6258.7,5189.4,-9892.9,6196.8,6651.5,6558.4,2.808,0,0,7,1,-9.0,0.645,4,2017-09-09 06:28:08.560
101,14.979218,-94.645866,-23.108,19884.9,-52127.8,-5446.2,769.7,1038.5,822.3,2.17,0,0,87,24,-9.0,0.302,1,2017-09-09 06:32:13.860
102,15.017575,-94.549683,-30.012,30215.8,-47883.4,1457.3,909.7,893.0,1423.1,2.26,0,0,62,47,-9.0,0.36,1,2017-09-09 06:37:04.590
103,15.144246,-94.796851,-29.781,3661.2,-33866.9,1226.1,698.1,511.5,983.3,2.272,0,0,325,250,-9.0,0.258,1,2017-09-09 06:51:34.960
104,15.262826,-94.81263,-53.226,1966.4,-20745.8,24671.5,1030.1,1051.8,2154.1,2.812,0,0,370,179,-9.0,0.277,1,2017-09-09 07:00:42.050
105,15.216994,-94.815316,-27.757,1677.6,-25817.2,-797.5,759.7,1150.4,656.8,2.298,0,0,189,248,-9.0,0.326,1,2017-09-09 07:07:11.160
106,15.646356,-95.126766,-50.911,-31733.4,21692.7,22356.5,1156.7,1591.3,3096.8,2.541,0,0,34,17,-9.0,0.304,1,2017-09-09 07:14:11.980
107,14.937743,-94.984131,-17.132,-16460.4,-56717.1,-11422.4,1321.7,1528.6,1327.5,2.366,0,0,32,7,-9.0,0.238,1,2017-09-09 07:29:30.910
108,15.34683,-94.923405,-31.772,-9925.5,-11450.5,3217.7,702.3,1058.6,1182.9,2.613,0,0,109,74,-9.0,0.267,1,2017-09-09 07:54:48.570
109,14.63244,-94.285433,-39.298,-1699.6,1614.3,6728.2,5509.5,4548.7,45706.7,2.688,0,0,9,0,-9.0,0.806,21,2017-09-09 08:01:27.790
110,15.257906,-94.864559,-30.796,-3609.8,-21290.2,2241.5,566.7,1202.3,921.1,2.535,0,0,127,180,-9.0,0.25,1,2017-09-09 08:19:27.950
111,15.366089,-94.915275,-30.467,-9052.9,-9319.6,1912.3,813.4,1199.2,1171.8,1.611,0,0,70,62,-9.0,0.378,1,2017-09-09 08:48:04.270
112,15.057294,-94.66661,-31.534,17653.2,-43488.4,2979.9,1075.7,783.5,1191.0,1.898,0,0,149,47,-9.0,0.356,1,2017-09-09 09:03:14.030
113,14.892939,-94.608057,-34.834,23951.9,-61674.7,6279.2,1122.2,1149.5,3041.5,2.047,0,0,43,16,-9.0,0.303,1,2017-09-09 09:13:14.860
114,15.125909,-94.76674,-52.519,6895.4,-35895.9,23964.4,865.0,751.3,1838.1,2.129,0,0,357,99,-9.0,0.265,1,2017-09-09 09:18:08.470
115,15.339014,-94.91932,-30.67,-9487.9,-12315.5,2115.6,960.2,1109.7,1488.3,2.334,0,0,169,108,-9.0,0.323,1,2017-09-09 09:19:57.850
116,15.160725,-94.76569,-49.283,7007.5,-32043.6,20728.7,786.1,770.8,2095.8,2.757,0,0,439,119,-9.0,0.237,1,2017-09-09 09:22:17.410
117,15.363215,-94.628255,-23.512,21757.1,-9637.5,-5042.2,879.4,1232.8,914.3,2.704,0,0,80,47,-9.0,0.259,1,2017-09-09 09:27:23.550
118,15.005579,-94.303597,-29.815,56655.4,-49210.8,1260.1,719.3,1636.1,1219.7,2.392,0,0,50,13,-9.0,0.245,1,2017-09-09 09:45:53.020
119,15.252638,-94.923641,-26.776,-9953.7,-21873.2,-1778.6,812.1,1465.0,1755.5,2.274,0,0,43,75,-9.0,0.319,1,2017-09-09 09:52:02.480
120,15.531833,-94.562272,-49.611,28828.1,9020.5,21056.7,738.8,1238.5,2466.4,2.184,0,0,31,13,-9.0,0.29,1,2017-09-09 10:19:27.460
121,15.12559,-94.765951,-32.955,6980.1,-35931.3,4400.2,628.4,996.2,1885.6,2.282,0,0,354,160,-9.0,0.314,1,2017-09-09 10:24:06.610
122,15.675769,-95.062028,-28.943,-24787.4,24947.3,388.1,916.4,1664.3,1496.5,2.004,0,0,31,11,-9.0,0.4,1,2017-09-09 10:33:59.000
123,15.055526,-94.98396,-22.862,-16437.5,-43684.0,-5692.2,1136.1,1323.6,1385.5,2.947,0,0,47,18,-9.0,0.293,1,2017-09-09 12:25:05.450
124,15.572844,-94.444287,-30.839,41484.7,13558.4,2284.3,515.5,1134.5,844.5,2.058,0,0,13,6,-9.0,0.196,1,2017-09-09 12:42:24.820
125,14.96139,-94.827075,-23.864,415.5,-54100.4,-4690.7,2160.2,2594.1,2733.8,2.16,0,0,15,5,-9.0,0.334,1,2017-09-09 12:52:51.700
126,15.035266,-94.299097,-22.185,57134.4,-45925.8,-6369.4,949.6,989.5,1020.7,2.864,0,0,31,5,-9.0,0.252,1,2017-09-09 13:18:43.330
127,15.495179,-95.26901,-68.597,1614.6,-9084.7,6225.0,3662.3,7648.2,5990.2,2.41,0,0,3,2,-9.0,0.266,6,2017-09-09 13:51:36.690
128,15.380366,-94.844491,-56.833,-1454.2,-7739.7,28278.3,1683.3,1913.9,5444.6,2.408,0,0,45,20,-9.0,0.484,1,2017-09-09 13:55:58.550
